id,name,category,difficulty,hours,importance
1,Java,Programming,1,20,10
2,OOP,Programming,2,12,10
3,Collections,Java,2,10,9
4,Recursion,DSA,3,8,8
5,Arrays,DSA,1,5,8
6,Linked List,DSA,2,6,8
7,Stack,DSA,2,5,7
8,Queue,DSA,2,5,7
9,HashMap,DSA,3,7,9
10,Trees,DSA,4,10,9
11,BST,DSA,4,8,8
12,Graphs,DSA,5,15,10
13,BFS,DSA,4,7,9
14,DFS,DSA,4,7,9
15,Dijkstra,DSA,5,10,10
16,Dynamic Programming,DSA,5,20,10
17,SQL,Database,2,15,9
18,Advanced SQL,Database,3,10,8
19,JDBC,Backend,3,8,7
20,Git,Tools,2,5,7
21,Spring Boot,Backend,5,25,10
22,REST API,Backend,4,10,9
23,System Design,Advanced,5,30,10
24,Microservices,Backend,5,25,8
25,Docker,DevOps,4,12,7
26,Linux,Operating System,3,15,8
27,HTML,Frontend,1,8,6
28,CSS,Frontend,1,10,6
29,JavaScript,Frontend,2,15,8
30,React,Frontend,4,20,8
31,Python,Programming,1,20,9
32,Statistics,Data Science,3,20,9
33,NumPy,Data Science,2,10,8
34,Pandas,Data Science,2,12,9
35,Machine Learning,AI,5,30,10
36,Deep Learning,AI,5,35,10
37,TensorFlow,AI,5,20,8
38,PyTorch,AI,5,20,8
39,Probability,Mathematics,3,15,8
40,Cloud Computing,Cloud,4,25,8
